id,t_const,t_inflection,t_rate,t_b_asymptote,t_pop_density,tfilt_const,tfilt_inflection,tfilt_rate,tfilt_b_asymptote,tfilt_pop_density
1KME5478N8497,-2.6258962373783046,0.5575833603185538,0.13112309508790418,17.06745997969646,1.5424944851466758,0.0,0.0,0.0,17.06745997969646,0.0
1KME5478N8498,-1.7078630751064638,0.5430270580667526,0.14490057958374242,17.478062540737465,1.6831755548943592,0.0,0.0,0.0,17.478062540737465,0.0
1KME5478N8499,-0.833261339949016,0.5298607110662135,0.15864444683410514,16.822139772184173,0.5329541998113553,0.0,0.0,0.0,16.822139772184173,0.0
1KME5478N8500,-0.3397977894834389,0.5393150326873046,0.17104842232044398,14.031529508496604,0.5975417517149039,0.0,0.0,0.0,14.031529508496604,0.0
1KME5478N8503,-0.5387059144497566,0.566536807959602,0.19937771723082726,15.746576869307292,0.5358573608020442,0.0,0.0,0.0,15.746576869307292,0.0
1KME5479N8483,0.7284667763138982,0.8442458864853717,0.2323224150857473,11.202183064224503,-10.329907759993059,0.0,0.0,0.0,11.202183064224503,-10.329907759993059
1KME5479N8484,0.6176517300484419,0.8402783737951143,0.2294439495345846,7.195306483889248,-9.591555175449713,0.0,0.0,0.0,7.195306483889248,-9.591555175449713
1KME5479N8485,0.19321152237081077,0.8353706128079827,0.22597933692954011,7.6729969283730295,-9.03149187589836,0.0,0.0,0.0,7.6729969283730295,-9.03149187589836
1KME5479N8486,-0.3030942951478836,0.8288024652264179,0.22180830933441364,8.326974667855339,-8.016142001618896,0.0,0.0,0.0,8.326974667855339,-8.016142001618896
1KME5479N8487,-0.6985067399904995,0.8201010016635908,0.21677661907534762,9.914604968274558,-6.685743216544996,0.0,0.0,0.0,9.914604968274558,-6.685743216544996
1KME5479N8488,-1.191988747017983,0.80864577666606,0.21068926427867352,11.041141262229822,-6.408592606620927,0.0,0.0,0.0,11.041141262229822,-6.408592606620927
1KME5479N8489,-1.7391922111804183,0.7932868537428895,0.20317306470705881,15.544582496855819,-4.231159735885851,0.0,0.0,0.0,15.544582496855819,-4.231159735885851
1KME5479N8490,-2.367260080111126,0.7732512964196182,0.19379600911239062,9.419339657041373,-2.3561292905988034,0.0,0.0,0.0,9.419339657041373,0.0
1KME5479N8491,-3.063197049645029,0.7478728122361477,0.18200807743846403,9.255769136086595,-1.478202348089288,-3.063197049645029,0.0,0.0,9.255769136086595,0.0
1KME5479N8492,-3.6488507436420887,0.7162921680543454,0.16711091446742832,9.730657398443405,-0.7003536893678227,-3.6488507436420887,0.0,0.0,9.730657398443405,0.0
1KME5479N8493,-4.237537188834292,0.6758270285052146,0.14971111832876716,9.2793499400888,-0.42956616585546736,-4.237537188834292,0.0,0.0,9.2793499400888,0.0
1KME5479N8494,-4.641832738186275,0.6319954835920076,0.128650892093825,8.041572654787162,0.018394853747496456,-4.641832738186275,0.0,0.0,8.041572654787162,0.0
1KME5479N8495,-4.5425760728312,0.5848192971413991,0.11252447640793638,10.154991406889483,0.47312662473077116,-4.5425760728312,0.0,0.0,10.154991406889483,0.0
1KME5479N8496,-4.057409277530549,0.5473189084801671,0.1162170107430712,15.869144416719678,1.1746289678363775,-4.057409277530549,0.0,0.0,15.869144416719678,0.0
1KME5479N8497,-3.2054582378407,0.5271932104400638,0.11292222385485311,18.25932843724741,2.161230788167103,-3.2054582378407,0.0,0.0,18.25932843724741,0.0
1KME5479N8498,-2.1700646673760975,0.5181727930987329,0.1297954203213276,18.699704909197845,2.8990567443408333,0.0,0.0,0.0,18.699704909197845,0.0
1KME5479N8499,-1.3182271003544825,0.5178373598257144,0.14548910521408479,18.683270806530633,2.5109387003911388,0.0,0.0,0.0,18.683270806530633,0.0
1KME5479N8500,-0.7490918573815255,0.5282199472363691,0.15946625637738857,16.140401837453773,0.989198234500744,0.0,0.0,0.0,16.140401837453773,0.0
1KME5479N8501,-0.6891027512244773,0.5334810930234285,0.17163693452225437,13.424434811635376,0.11844736183330579,0.0,0.0,0.0,13.424434811635376,0.0
1KME5479N8502,-0.7099295379950942,0.5445501843911917,0.18210982367187248,11.365456430201915,0.6695591400675355,0.0,0.0,0.0,11.365456430201915,0.0
1KME5480N8484,0.8194620489030443,0.8352550050621863,0.2214082021644931,10.67200245201486,-10.693046318778011,0.0,0.0,0.0,10.67200245201486,-10.693046318778011
1KME5480N8485,0.6358434300698853,0.8297971321985421,0.21717864896088906,7.073735898741197,-10.406997049707114,0.0,0.0,0.0,7.073735898741197,-10.406997049707114
1KME5480N8486,0.11518694451238405,0.8225858291477093,0.21207963045916722,7.997078241994072,-9.328972439054313,0.0,0.0,0.0,7.997078241994072,-9.328972439054313
1KME5480N8487,-0.46426572283777423,0.8131270012815994,0.2059330627510359,9.153635842830402,-7.355277286368641,0.0,0.0,0.0,9.153635842830402,-7.355277286368641
1KME5480N8489,-1.7427862788747912,0.7846733039521097,0.18955696210288828,9.089840792016144,-2.410641841243986,0.0,0.0,0.0,9.089840792016144,0.0
1KME5480N8491,-3.282779825879006,0.736406820371693,0.16530669693339473,9.382322511729809,-1.7347891311716173,-3.282779825879006,0.0,0.0,9.382322511729809,0.0
1KME5480N8494,-5.049735323784886,0.6073710424893485,0.10630737894603073,9.360244772919659,0.4681300932147051,-5.049735323784886,0.0,0.0,9.360244772919659,0.0
1KME5480N8496,-4.377525548209435,0.5208820929525917,0.09119042878221847,16.980285601624953,1.4749111584388808,-4.377525548209435,0.0,0.0,16.980285601624953,0.0
1KME5480N8497,-3.60776156594734,0.5073767240235141,0.09459793105727027,17.68946998280401,2.6030567447507016,-3.60776156594734,0.0,0.0,17.68946998280401,0.0
1KME5480N8498,-2.759536413596782,0.48410827070021795,0.11411134219446348,18.26176609594482,3.5546881004891335,0.0,0.0,0.0,18.26176609594482,3.5546881004891335
1KME5480N8499,-1.9285216947481891,0.4943850998439148,0.13188367928429065,18.370738005408484,3.7529463339123503,0.0,0.0,0.0,18.370738005408484,3.7529463339123503
1KME5480N8500,-1.3161000677426031,0.5084720708562992,0.14752944826982795,15.860551719607416,2.587230401836354,0.0,0.0,0.0,15.860551719607416,0.0
1KME5480N8501,-1.022336955403312,0.5229915498186098,0.1610630369765043,13.64647020237277,1.2758683610060995,0.0,0.0,0.0,13.64647020237277,0.0
1KME5480N8502,-0.9805365441685417,0.5361898288189024,0.17266614451032666,13.103376398495529,1.0194954396452727,0.0,0.0,0.0,13.103376398495529,0.0
1KME5480N8503,-0.9707886389366536,0.5481020889292061,0.1825750049722896,15.226215862275314,1.0355598209877481,0.0,0.0,0.0,15.226215862275314,0.0
1KME5480N8504,-0.6487030988518503,0.5588366698893295,0.1910282624622388,15.35084288827972,0.7853522134170011,0.0,0.0,0.0,15.35084288827972,0.0
1KME5481N8488,-0.8542050453562409,0.7928960401827396,0.1852415061267161,8.828497820265131,-4.454028262381975,0.0,0.0,0.0,8.828497820265131,-4.454028262381975
1KME5481N8489,-1.66271818743642,0.7757560707674971,0.17428085073749577,12.034770713740052,-3.592786268532644,0.0,0.0,0.0,12.034770713740052,-3.592786268532644
1KME5481N8490,-2.5021755130511343,0.7535462781973672,0.16112116294091924,11.81599692387578,-2.981925982165281,0.0,0.0,0.0,11.81599692387578,-2.981925982165281
1KME5481N8492,-4.269178118753254,0.6874416173390152,0.12650936346022004,13.311020622252496,-1.1945153512700675,-4.269178118753254,0.0,0.0,13.311020622252496,0.0
1KME5481N8493,-4.9695157317537255,0.6417420309667106,0.10190330829813218,15.87718453291805,-0.22585793600951973,-4.9695157317537255,0.0,0.0,15.87718453291805,0.0
1KME5481N8495,-5.033663122894841,0.5435290114585681,0.07154231231700792,19.606756914588637,1.141127736785207,-5.033663122894841,0.0,0.0,19.606756914588637,0.0
1KME5481N8496,-4.458501203235636,0.5014915298537077,0.061989194041128064,17.077312859552794,1.6268975995504675,-4.458501203235636,0.0,0.0,17.077312859552794,0.0
1KME5481N8497,-3.715380633416252,0.46809926502861543,0.07649764123750277,17.2363544932111,2.797356428071309,-3.715380633416252,0.0,0.0,17.2363544932111,0.0
1KME5481N8498,-3.003589457812595,0.4639378881228977,0.09858903392500978,17.67010305942949,3.8073637344498312,-3.003589457812595,0.0,0.0,17.67010305942949,3.8073637344498312
1KME5481N8500,-1.6387213817827384,0.49963170672972174,0.13565309632837608,15.64780613171603,2.995363365912309,0.0,0.0,0.0,15.64780613171603,2.995363365912309
1KME5481N8501,-1.2317744474458465,0.5153884904104387,0.15051701785616248,13.735501764445338,1.7400191591069551,0.0,0.0,0.0,13.735501764445338,0.0
1KME5481N8502,-1.0270526306689742,0.5295678691124901,0.16322755530747005,13.549617268192323,1.2739981506978815,0.0,0.0,0.0,13.549617268192323,0.0
1KME5481N8505,-0.10568382906970326,0.5628411048025083,0.19122428176780226,14.232236559706186,0.2890698509893647,0.0,0.0,0.0,14.232236559706186,0.0
1KME5481N8509,0.6677427459486696,0.5929481460654159,0.21314231718404675,19.182121907087886,-1.2657392676745893,0.0,0.0,0.0,19.182121907087886,0.0
1KME5482N8485,0.8456494757434262,0.8186464937639671,0.19791979447261143,8.721159225159754,-8.185525488968688,0.0,0.0,0.0,8.721159225159754,-8.185525488968688
1KME5482N8487,0.2795588216017346,0.7992331152891071,0.1822533282355944,7.378707372812724,-4.813569334139166,0.0,0.0,0.0,7.378707372812724,-4.813569334139166
1KME5482N8488,-0.6600660329281365,0.7851321120573966,0.1720845560033888,8.069726780714236,-3.094665534242034,0.0,0.0,0.0,8.069726780714236,-3.094665534242034
1KME5482N8492,-4.361345515722023,0.6754197005707882,0.10861034065895316,14.2166490858661,-1.4556936453383018,-4.361345515722023,0.0,0.0,14.2166490858661,0.0
1KME5482N8496,-4.1866592442495305,0.493918472892729,0.04947670623184116,16.95406404225675,1.0637972004759249,-4.1866592442495305,0.0,0.0,16.95406404225675,0.0
1KME5482N8497,-3.4259488979721455,0.46406746957711736,0.06464658800494189,17.55112528298635,2.084876283530901,-3.4259488979721455,0.0,0.0,17.55112528298635,0.0
1KME5482N8498,-2.6974632872049877,0.44985546770740403,0.08780136408586434,20.56793249517578,2.269099699858612,0.0,0.0,0.0,20.56793249517578,0.0
1KME5482N8501,-1.073561170209122,0.501829535295123,0.1404094010839202,14.169117725368816,1.4676297646664171,0.0,0.0,0.0,14.169117725368816,0.0
